#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
1,MEGAHORN,Megahorn,Cool,6,0,018,"Makes a great appeal, but allows no more to the end."
2,ATTACKORDER,Attack Order,Cute,2,0,036,"Increases if crowd excitement increases."
3,BUGBUZZ,Bug Buzz,Cute,2,0,036,"Increases if crowd excitement increases."
8,XSCISSOR,X-Scissor,Beauty,2,0,014,"The appeal works great if performed first."
9,SIGNALBEAM,Signal Beam,Beauty,3,0,024,"Scrambles the order of appeals on the next turn."
10,UTURN,U-turn,Cute,4,0,001,"Can avoid being startled by others once."
11,STEAMROLLER,Steamroller,Tough,1,4,008,"Badly startles the Pokemon in front."
12,BUGBITE,Bug Bite,Cute,2,0,036,"Increases if crowd excitement increases."
13,SILVERWIND,Silver Wind,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
15,STRUGGLEBUG,Struggle Bug,Cool,2,0,001,"Can avoid being startled by others once."
18,TWINEEDLE,Twineedle,Cool,2,0,015,"Can be repeatedly used without boring the judge."
16,FURYCUTTER,Fury Cutter,Cool,3,0,015,"Can be repeatedly used without boring the judge."
6,LEECHLIFE,Leech Life,Smart,2,3,008,"Badly startles the Pokemon in front."
17,PINMISSILE,Pin Missile,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
20,DEFENDORDER,Defend Order,Smart,0,0,027,"User earns double the score in it's next appeal."
21,HEALORDER,Heal Order,Smart,1,0,033,"Does better based on crowd excitement."
23,QUIVERDANCE,Quiver Dance,Beauty,4,0,003,"The next appeal can be made earlier next turn."
24,RAGEPOWDER,Rage Powder,Smart,2,0,017,"Makes all Pokemon after the user nervous."
25,SPIDERWEB,Spider Web,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
27,STRINGSHOT,String Shot,Smart,2,3,008,"Badly startles the Pokemon in front."
28,TAILGLOW,Tail Glow,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
30,FOULPLAY,Foul Play,Smart,2,3,005,"Badly startles those that have made appeals."
32,NIGHTDAZE,Night Daze,Smart,1,2,005,"Badly startles those that have made appeals."
33,CRUNCH,Crunch,Tough,1,4,008,"Badly startles the Pokemon in front."
34,DARKPULSE,Dark Pulse,Cool,2,0,014,"The appeal works great if performed first."
37,SUCKERPUNCH,Sucker Punch,Smart,2,0,003,"The next appeal can be made earlier next turn."
36,NIGHTSLASH,Night Slash,Beauty,3,0,000,"A highly appealing move."
40,BITE,Bite,Tough,1,3,005,"Badly startles those that have made appeals."
42,FEINTATTACK,Feint Attack,Smart,2,0,014,"The appeal works great if performed first."
44,SNARL,Snarl,Tough,1,3,008,"Badly startles the Pokemon in front."
39,ASSURANCE,Assurance,Beauty,2,0,021,"The appeal works great if performed last."
45,PAYBACK,Payback,Cool,1,0,014,"The appeal works great if performed first."
46,PURSUIT,Pursuit,Smart,2,1,005,"Badly startles those that have made appeals."
43,THIEF,Thief,Tough,1,0,034,"Earns the same amount as the last appeal."
38,KNOCKOFF,Knock Off,Smart,1,4,008,"Badly startles the Pokemon in front."
47,BEATUP,Beat Up,Smart,2,0,015,"Can be repeatedly used without boring the judge."
48,FLING,Fling,Tough,2,3,005,"Badly startles those that have made appeals."
50,PUNISHMENT,Punishment,Smart,1,0,005,"Badly startles those that have made appeals."
51,DARKVOID,Dark Void,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
52,EMBARGO,Embargo,Cute,2,0,013,"Temporarily stops the crowd from growing excited."
53,FAKETEARS,Fake Tears,Smart,2,0,021,"The appeal works great if performed last."
54,FLATTER,Flatter,Smart,2,0,017,"Makes all Pokemon after the user nervous."
55,HONECLAWS,Hone Claws,Tough,0,0,027,"User earns double the score in it's next appeal."
56,MEMENTO,Memento,Tough,8,0,018,"Makes a great appeal, but allows no more to the end."
57,NASTYPLOT,Nasty Plot,Cute,0,0,027,"User earns double the score in it's next appeal."
59,QUASH,Quash,Smart,4,0,003,"The next appeal can be made earlier next turn."
60,SNATCH,Snatch,Smart,2,1,005,"Badly startles those that have made appeals."
61,SWITCHEROO,Switcheroo,Cool,1,0,034,"Earns the same amount as the last appeal."
62,TAUNT,Taunt,Smart,2,0,017,"Makes all Pokemon after the user nervous."
64,TORMENT,Torment,Tough,2,0,017,"Makes all Pokemon after the user nervous."
65,ROAROFTIME,Roar of Time,Cool,3,0,037,"Add the score of the last appeal to yours."
66,DRACOMETEOR,Draco Meteor,Smart,6,0,010,"After this move, the user is more easily startled."
67,OUTRAGE,Outrage,Cool,4,4,005,"Badly startles those that have made appeals."
70,DRAGONRUSH,Dragon Rush,Cool,2,0,021,"The appeal works great if performed last."
71,SPACIALREND,Spacial Rend,Tough,2,0,036,"Increases if crowd excitement increases."
73,DRAGONPULSE,Dragon Pulse,Smart,2,0,036,"Increases if crowd excitement increases."
74,DRAGONCLAW,Dragon Claw,Cool,2,1,006,"Startles Pokemon that made the same type appeal."
76,DRAGONTAIL,Dragon Tail,Cool,1,4,008,"Badly startles the Pokemon in front."
75,DRAGONBREATH,DragonBreath,Cool,1,3,005,"Badly startles those that have made appeals."
77,DUALCHOP,Dual Chop,Cool,4,0,000,"A highly appealing move."
78,TWISTER,Twister,Cool,3,0,024,"Scrambles the order of appeals on the next turn."
79,DRAGONRAGE,Dragon Rage,Cool,1,0,006,"The appeal works better the later it is performed."
80,DRAGONDANCE,Dragon Dance,Cool,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
81,BOLTSTRIKE,Bolt Strike,Cool,7,0,010,"After this move, the user is more easily startled."
84,THUNDER,Thunder,Cool,2,2,005,"Badly startles those that have made appeals."
82,VOLTTACKLE,Volt Tackle,Cool,2,2,007,"Startles the Pokemon that have the judges attention."
83,ZAPCANNON,Zap Cannon,Cool,4,0,000,"A highly appealing move."
85,FUSIONBOLT,Fusion Bolt,Cool,7,0,010,"After this move, the user is more easily startled."
87,THUNDERBOLT,Thunderbolt,Cool,4,0,000,"A highly appealing move."
88,WILDCHARGE,Wild Charge,Cool,2,0,014,"The appeal works great if performed first."
89,DISCHARGE,Discharge,Cool,2,0,014,"The appeal works great if performed first."
91,THUNDERPUNCH,ThunderPunch,Cool,4,0,000,"A highly appealing move."
92,VOLTSWITCH,Volt Switch,Cool,3,0,011,"The user will appeal later in the next turn."
94,SPARK,Spark,Cool,1,4,008,"Badly startles the Pokemon in front."
95,THUNDERFANG,Thunder Fang,Smart,3,0,000,"A highly appealing move."
96,SHOCKWAVE,Shock Wave,Cool,2,0,014,"The appeal works great if performed first."
97,ELECTROWEB,Electroweb,Smart,3,0,011,"The user will appeal later in the next turn."
98,CHARGEBEAM,Charge Beam,Beauty,2,0,014,"The appeal works great if performed first."
99,THUNDERSHOCK,ThunderShock,Cool,4,0,000,"A highly appealing move."
101,ELECTROBALL,Electro Ball,Cool,4,0,000,"A highly appealing move."
102,CHARGE,Charge,Smart,2,0,025,"Works well if its the same type as the one before."
107,MAGNETRISE,Magnet Rise,Cool,3,0,000,"A highly appealing move."
109,THUNDERWAVE,Thunder Wave,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
130,FOCUSPUNCH,Focus Punch,Tough,3,0,011,"The user will appeal later in the next turn."
131,HIGHJUMPKICK,High Jump Kick,Cool,6,0,010,"After this move, the user is more easily startled."
132,CLOSECOMBAT,Close Combat,Cool,6,0,010,"After this move, the user is more easily startled."
133,FOCUSBLAST,Focus Blast,Cool,2,0,014,"The appeal works great if performed first."
134,SUPERPOWER,Superpower,Tough,6,0,010,"After this move, the user is more easily startled."
135,CROSSCHOP,Cross Chop,Cool,3,0,009,"Affected by how well the appeal in front goes."
136,DYNAMICPUNCH,DynamicPunch,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
138,HAMMERARM,Hammer Arm,Cool,2,0,011,"The user will appeal later in the next turn."
139,JUMPKICK,Jump Kick,Cool,6,0,010,"After this move, the user is more easily startled."
143,AURASPHERE,Aura Sphere,Beauty,2,0,014,"The appeal works great if performed first."
140,SACREDSWORD,Sacred Sword,Tough,4,0,001,"Can avoid being startled by others once."
141,SECRETSWORD,Secret Sword,Tough,4,0,000,"A highly appealing move."
142,SKYUPPERCUT,Sky Uppercut,Cool,2,1,006,"Startles the Pokemon that made a same-type appeal."
144,SUBMISSION,Submission,Cool,6,0,010,"After this move, the user is more easily startled."
145,BRICKBREAK,Brick Break,Cool,1,4,008,"Badly startles the Pokemon in front."
146,DRAINPUNCH,Drain Punch,Beauty,1,0,036,"Increases if crowd excitement increases."
147,VITALTHROW,Vital Throw,Cool,3,0,011,"The user will appeal later in the next turn."
150,CIRCLETHROW,Circle Throw,Tough,1,0,014,"The appeal works great if performed first."
151,FORCEPALM,Force Palm,Cool,2,0,021,"The appeal works great if performed last."
149,LOWSWEEP,Low Sweep,Tough,1,4,008,"Badly startles the Pokemon in front."
152,REVENGE,Revenge,Tough,3,0,026,"The next appeal can be made later next turn."
153,ROLLINGKICK,Rolling Kick,Cool,3,0,000,"A highly appealing move."
148,WAKEUPSLAP,Wake-Up Slap,Smart,1,0,014,"The appeal works great if performed first."
155,KARATECHOP,Karate Chop,Tough,3,0,009,"Affected by how well the appeal in front goes."
156,MACHPUNCH,Mach Punch,Cool,3,0,003,"The next appeal can be made earlier next turn."
158,ROCKSMASH,Rock Smash,Tough,2,0,025,"Works well if its the same type as the one before."
154,STORMTHROW,Storm Throw,Tough,1,0,014,"The appeal works great if performed first."
159,VACUUMWAVE,Vacuum Wave,Smart,2,0,003,"The next appeal can be made earlier next turn."
160,DOUBLEKICK,Double Kick,Cool,2,0,025,"Works well if its the same type as the one before."
161,ARMTHRUST,Arm Thrust,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
162,TRIPLEKICK,Triple Kick,Cool,3,0,025,"Works well if its the same type as the one before."
163,COUNTER,Counter,Tough,2,0,001,"Can avoid being startled by others once."
164,FINALGAMBIT,Final Gambit,Cool,2,0,021,"The appeal works great if performed last."
165,LOWKICK,Low Kick,Tough,1,4,008,"Badly startles the Pokemon in front."
